	Hfq_30_II_cutadapt_bwa	Hfq_30_I_cutadapt_bwa	Hfq_60_II_cutadapt_bwa	Hfq_60_I_cutadapt_bwa	Hfq_lambda_30_II_cutadapt_bwa	Hfq_lambda_30_I_cutadapt_bwa	Hfq_lambda_60_II_cutadapt_bwa	Hfq_lambda_60_I_cutadapt_bwa	wt30_II_cutadapt_bwa	wt30_I_cutadapt_bwa	wt_lambda_30_II_cutadapt_bwa	wt_lambda_30_I_cutadapt_bwa
3'ETS-<i>leuZ</i>	1864	1680	2976	1465	2286	2193	1622	3180	4	1	2	2
A	29	3	10	3	13343	18665	6062	13874	35	2	592	156
B	29	4	0	0	12789	18869	4962	12855	44	1	601	171
C	22	2	4	3	13203	21670	4959	13686	53	2	1011	300
C0067	2	3	9	1	4	8	8	15	0	0	0	0
C0293	1	3	7	4	3	2	8	25	0	0	0	0
C0299	1	1	2	1	0	1	2	1	0	0	0	0
C0362	79	88	84	87	63	89	121	133	0	0	0	0
C0465	2	0	1	0	0	0	1	1	0	0	0	0
C0614	19	21	40	30	31	27	47	39	0	0	0	0
C0664	1	1	0	0	0	0	1	2	0	0	0	0
C0719	3	2	14	4	7	12	36	19	0	1	0	0
D	10	1	2	3	3607	5348	1476	3854	8	2	298	68
E	41	0	2	1	14350	21342	5261	13495	43	4	1117	275
Fi	11	1	1	1	7755	11626	2463	6733	11	3	538	130
Fii	14	1	2	1	8291	10626	2604	5590	15	5	489	131
G	9	3	4	2	9062	12554	2517	6047	14	2	707	170
G0-10698	387	373	192	164	346	477	123	183	0	1	0	0
G0-10700	732	1277	704	715	628	1256	850	2253	13	7	4	1
G0-10702	12	7	30	7	11	8	19	41	1	0	0	1
G0-10703	2	10	2	0	1	11	0	6	0	0	0	0
G0-10704	44	38	46	34	34	53	34	66	1	0	0	0
G0-10705	1	1	6	7	4	2	10	17	0	1	0	0
G0-10706	21	16	24	10	18	19	14	29	0	1	0	0
H	42	4	8	2	43731	57817	13438	29329	75	4	2561	622
I	7	0	3	0	5321	6895	1555	3025	17	0	371	90
IS128	2	4	6	2	6	5	4	14	0	0	0	0
J	36	2	4	4	22218	30505	6523	14873	49	3	1717	452
K	6	1	0	0	4662	6425	1272	2916	13	0	424	88
L	13	2	0	1	9046	12019	2386	5822	16	3	645	161
M	5	0	2	0	5589	7037	1282	2905	12	3	440	96
N	54	2	2	0	384	737	3566	13495	43	3	8	8
NinB	11	0	2	1	1118	1762	1931	4411	10	1	6	1
NinC	18	1	2	0	1757	2878	3061	6842	20	1	15	18
NinD	3	0	0	0	240	461	547	1261	3	0	0	0
NinE	0	1	0	0	280	451	513	1279	4	0	1	0
NinF	8	1	1	1	2155	3092	2430	5082	14	3	18	3
NinG	27	1	1	1	2489	4037	3966	9780	29	3	31	13
NinH	11	0	1	1	1141	1933	1531	3588	18	0	11	2
NinI	19	0	0	0	2565	3945	2872	6666	25	1	25	22
O	29	2	3	1	3056	4148	7391	10947	27	0	18	6
P	37	3	3	0	4625	6784	7289	17711	32	2	53	22
Q	9	0	0	0	1271	1814	1462	3318	10	0	15	4
R	18	1	2	1	3521	6474	2328	6953	18	1	130	42
Rz	13	4	1	2	2392	4123	1483	4463	17	1	90	34
Rz1	3	1	0	1	639	1170	397	1327	10	0	26	16
S	9	0	0	2	1183	1969	1071	2211	8	0	23	6
S'	9	0	0	2	1162	1934	1052	2133	8	0	23	6
T	4	0	0	1	8166	11153	2273	5252	9	0	553	138
U	7	0	2	0	5020	6623	1667	3920	15	1	262	74
V	26	2	5	3	12772	17673	3817	9269	19	3	895	251
W	2	0	4	0	2801	4236	1272	2810	11	1	98	41
Z	13	0	2	2	9115	13254	3025	7476	24	3	673	163
aaaD	1	2	0	4	912	1389	435	950	1	0	43	15
aaaE	14	17	15	18	5	14	10	25	0	0	0	0
aaeA	30	53	36	26	32	41	31	36	0	0	0	0
aaeB	42	44	32	39	20	39	47	65	1	2	0	0
aaeR	279	331	235	276	199	324	147	406	5	8	2	4
aaeX	24	31	18	10	23	33	23	24	0	0	0	0
aas	744	793	510	445	549	752	339	647	6	7	4	0
aat	126	146	284	210	98	141	169	344	1	3	0	1
abgA	31	37	43	40	16	32	32	69	0	2	0	1
abgB	65	71	100	70	42	68	87	172	0	0	0	1
abgR	192	238	297	300	155	220	209	464	1	3	1	1
abgT	136	107	169	119	88	95	103	175	1	2	0	0
abpA	470	657	212	218	346	716	147	394	12	21	4	3
abpB	396	661	258	228	372	661	162	379	14	16	5	2
abrB	143	168	105	119	127	167	136	181	5	4	0	0
accA	811	860	1516	1487	531	753	952	2443	17	20	8	7
accB	180	293	646	506	156	303	487	1566	12	8	7	5
accC	347	518	1218	1035	276	483	912	2541	17	29	8	3
accD	800	984	1708	1568	587	869	1012	2500	12	16	4	9
aceA	9442	14009	8577	10241	5022	8912	5772	13589	64	69	18	8
aceB	2706	4367	4120	4221	1252	2385	2859	8201	27	24	11	10
aceE	4895	6761	16437	15335	2729	4963	10986	39388	217	205	56	64
aceF	4003	5393	9468	10586	2129	3491	6066	24099	177	158	46	43
aceK	426401	414605	336705	209277	471996	468514	261418	281415	176	40	69	187
aceK-int	417632	404017	328608	199267	464924	459126	255386	273872	150	25	61	181
ackA	6250	8232	8616	9381	4901	7802	6048	14175	132	138	47	24
acnA	1725	2830	844	759	1096	2198	598	1530	58	67	23	14
acnB	15173	19318	14423	14812	8778	13311	10272	27081	281	267	111	80
acpH	171	190	131	106	155	142	78	131	1	0	1	0
acpP	15272	13292	26595	28575	13371	15671	21281	28893	116	77	45	36
acpS	92	139	108	80	50	95	68	189	1	3	0	1
acpT	125	171	150	115	91	163	86	229	2	3	1	1
acrA	221	358	481	298	128	336	313	1071	11	18	7	2
acrB	557	901	1429	1205	437	801	965	2694	31	31	15	5
acrD	257	287	370	258	240	281	321	421	4	5	0	1
acrE	0	1	4	1	1	4	3	11	0	0	0	0
acrF	71	56	58	44	42	47	46	82	3	2	1	0
acrR	134	135	396	318	137	180	362	600	0	0	0	1
acrZ	1273	1058	1853	1460	1253	1459	1206	1883	8	2	0	1
acs	1614	1721	356	320	641	917	250	575	6	6	2	1
actP	848	643	207	203	252	332	119	228	0	0	1	0
actS	248	293	247	272	230	287	256	439	5	2	1	1
ada	176	255	240	298	112	192	145	303	3	3	2	0
add	474	628	499	492	337	473	306	750	8	11	4	3
adeD	443	555	409	387	361	541	276	493	1	2	1	1
adeP	86	85	324	241	75	103	198	333	2	0	1	0
adeQ	34	37	25	14	40	53	20	27	1	0	0	0
adhE	3910	6813	2608	2580	2253	5789	1622	6084	258	279	76	97
adhP	79	171	138	120	71	148	67	257	2	0	0	1
adiA	186	290	190	151	137	249	92	289	10	11	1	1
adiC	71	88	16	16	77	99	20	10	2	1	0	1
adiY	129	141	25	9	96	211	14	43	0	6	1	1
adk	466	622	1591	1071	390	668	971	2439	31	16	7	3
aegA	606	524	233	313	399	567	119	323	3	8	5	0
aer	2641	2376	2063	2262	1712	2386	1408	3537	60	87	26	25
aes	143	175	98	107	116	132	49	111	4	1	2	0
afuB	4	14	16	9	8	14	9	33	0	1	0	1
afuC	12	10	24	20	4	10	10	43	0	1	0	0
agaA	433	305	125	133	335	300	78	128	0	1	0	0
agaB	2	2	1	2	0	2	0	5	0	0	0	0
agaC	3	3	1	11	2	5	6	7	0	0	0	0
agaD	12	9	12	6	12	12	5	17	0	0	0	0
agaI	17	8	8	12	12	10	10	16	0	0	0	0
agaR	909	959	953	946	600	791	578	1132	14	11	1	3
agaS	10	10	2	6	2	8	7	7	0	0	0	0
agaV	79	90	20	38	50	71	18	49	2	1	0	0
agaW	53	74	18	29	29	42	16	36	0	0	0	0
agp	1961	2974	799	1001	1466	2342	577	1290	40	78	24	14
agrA	107	135	195	146	96	157	142	427	6	4	11	1
agrB	1	3	5	2	4	4	16	12	0	0	0	0
ahpC	3057	4437	2214	2311	2132	3577	1473	4048	142	141	52	43
ahpF	5314	6500	6850	6903	3655	6054	4016	8638	51	25	4	14
ahr	172	238	39	33	136	219	26	53	5	0	0	0
aidB	451	431	117	118	264	485	88	137	0	2	1	2
ais	3	1	3	0	1	3	3	2	0	0	0	0
alaA	191	281	306	297	151	237	236	519	13	8	3	1
alaC	211	288	268	246	135	214	170	414	3	12	1	1
alaE	184	160	104	90	143	216	151	139	0	0	0	0
alaS	1843	2537	3816	3302	1341	2265	3214	7546	64	84	23	9
alaT	451	562	395	1611	799	713	1372	1661	590	840	713	256
alaU	256	282	234	801	387	386	631	841	353	362	338	104
alaV	548	589	351	1467	910	767	994	1754	589	719	755	277
alaW	370	350	358	1172	463	528	221	1177	348	678	292	99
alaX	401	394	371	1330	562	595	537	1380	413	779	401	104
aldA	4463	4609	4831	4822	1812	2565	3720	7275	35	19	5	3
aldB	326	460	82	91	217	379	32	77	6	8	4	0
alkA	86	104	72	119	71	92	54	109	1	5	0	3
alkB	106	122	150	120	74	101	123	143	0	1	2	0
allA	9	16	14	20	9	23	6	15	0	0	0	0
allB	20	44	24	25	15	36	9	38	0	0	0	0
allC	91	114	104	82	80	97	73	132	2	0	0	0
allD	20	25	15	15	21	20	17	25	1	0	0	0
allE	397	437	391	236	337	450	267	513	2	0	0	1
allR	2185	2725	1108	1043	1316	2498	644	1350	13	14	16	3
allS	34	36	17	21	28	50	13	25	0	1	0	1
allW	10	5	6	2	6	11	6	7	0	0	0	0
allZ	1999	2499	812	709	1165	2302	431	875	8	8	16	2
alpA	0	2	3	1	5	2	3	6	0	0	0	0
alr	927	1108	1694	1828	742	1107	1077	2133	14	7	3	7
alsA	23	17	25	34	10	12	8	40	0	1	0	0
alsB	66	52	86	98	49	48	52	95	0	0	0	0
alsC	26	12	19	18	15	11	7	25	0	2	0	1
alsE	80	60	55	42	37	47	22	47	0	0	0	0
alsK	54	24	46	34	21	38	16	56	0	0	0	0
alsR	270	299	485	389	227	275	277	527	8	3	0	0
alx	46	59	75	57	36	52	91	146	0	3	0	0
ameF	3	0	1	0	0	1	0	6	0	0	0	0
amiA	1426	1702	2102	1700	1230	1934	1545	3038	11	11	3	1
amiB	341	559	532	387	279	471	310	1038	12	10	5	5
amiC	1071	915	974	965	747	972	642	1360	13	8	5	2
amiD	942	924	373	391	752	814	279	447	5	12	11	2
amn	973	1214	1122	1040	647	958	715	1698	9	17	4	6
ampC	239	337	133	168	251	315	100	266	12	8	5	0
ampD	402	480	315	337	414	510	299	532	9	15	2	3
ampE	579	587	347	354	490	542	192	414	4	8	1	1
ampG	797	725	1676	1109	772	791	1201	1374	5	1	4	4
ampG-int	181	205	301	143	219	234	224	249	2	1	3	1
ampH	197	189	290	274	150	195	229	433	5	1	0	0
amtB	142	116	100	96	120	139	66	117	2	2	0	0
amyA	3518	3589	2586	2353	3021	4484	1827	4819	50	124	30	14
anmK	259	284	246	233	190	297	157	333	2	2	0	0
ansA	40	62	147	97	48	66	103	269	1	1	0	0
ansB	25755	21046	3223	4176	24825	24154	1424	3669	211	281	112	99
ansP	151	139	851	663	141	153	699	763	5	0	0	0
apaG	220	427	364	297	149	344	230	855	10	8	7	6
apaH	641	816	624	641	439	691	477	922	4	12	4	1
aphA	645	868	760	777	484	704	473	1143	21	23	6	8
appA	17	24	27	24	17	22	16	39	2	1	0	0
appB	69	58	54	65	47	53	32	71	0	0	0	1
appC	37	42	42	19	27	38	17	41	1	1	0	0
appX	5	0	10	7	2	5	6	6	2	0	0	0
appY	56	71	19	13	63	107	15	34	0	0	0	0
apt	71	109	347	234	47	70	222	521	3	4	0	3
aqpZ	154	198	147	87	141	168	76	83	0	0	0	0
araA	100	105	30	29	49	92	24	72	2	2	0	0
araB	71	97	38	49	46	89	21	41	1	2	1	0
araC	970	875	824	1053	609	736	493	896	3	5	3	0
araD	11	17	7	12	4	16	3	13	0	0	0	0
araE	219	249	187	158	155	230	122	222	3	1	0	2
araF	201	256	97	81	147	250	51	177	6	7	0	2
araG	154	212	63	62	120	188	37	92	4	6	0	1
araH	276	288	143	115	289	302	58	120	6	5	0	1
araJ	507	556	731	615	450	534	502	624	1	1	0	1
arcA	1108	1385	1074	897	749	1365	724	2373	44	38	14	7
arcB	3170	3563	2443	3102	2312	3087	1454	3125	24	44	16	11
arcZ	222472	178037	266329	149795	215911	194553	150766	176589	121	14	39	136
arfA	23	20	43	50	23	33	69	80	0	0	0	0
arfB	1085	1019	902	1054	805	1150	658	982	6	1	1	2
argA	135	143	166	133	106	142	152	285	4	1	0	0
argB	94	110	67	72	49	93	54	98	1	1	1	1
argC	69	95	55	56	40	76	92	199	1	1	0	0
argD	39	55	91	95	37	49	105	141	1	0	0	0
argE	182	202	154	129	107	177	116	256	1	7	2	0
argF	77	69	94	86	27	60	108	128	3	0	0	0
argG	226	232	237	226	182	234	212	388	5	2	2	0
argH	247	304	142	162	151	238	111	282	0	7	1	1
argI	77	78	50	45	42	69	69	110	0	2	0	0
argK	11	19	5	7	7	11	2	13	0	1	0	0
argL	7	2	11	5	2	6	16	27	0	0	0	0
argO	272	351	222	227	248	412	96	241	3	0	0	4
argP	1654	1644	1671	2101	1334	1621	1247	1794	12	7	1	1
argQ	47	51	189	60	35	41	417	149	83	82	5	30
argR	59	62	99	105	46	81	117	238	1	1	0	1
argS	190	219	482	461	133	233	429	1076	9	9	6	2
argT	724	588	1268	1019	427	435	971	1503	2	1	0	1
argU	137	152	110	466	201	235	294	351	198	184	156	67
argV	37	28	77	77	30	44	57	153	2	10	8	0
argW	23	44	27	46	42	41	50	57	24	31	27	10
argX	322	418	534	938	622	470	1097	1571	346	426	505	174
argY	648	946	546	2428	1490	1346	142	2884	980	1658	1218	438
argZ	655	932	556	2419	1515	1341	157	2835	984	1661	1212	437
ariR	51	72	26	21	56	94	19	30	0	0	0	0
arnA	135	185	150	113	106	156	96	201	3	3	1	2
arnB	30	53	34	26	22	54	27	40	0	0	0	0
arnC	16	31	17	17	18	29	12	22	0	0	0	0
arnD	50	45	51	28	72	67	39	80	2	0	0	0
arnE	17	36	13	17	15	29	6	21	0	2	0	0
arnF	14	6	12	9	13	17	5	5	0	0	0	0
arnT	64	76	43	50	33	56	31	54	0	2	1	0
aroA	326	414	799	631	245	409	586	1061	8	6	0	0
aroB	591	784	879	629	459	769	580	1762	17	31	9	1
aroC	2088	2211	3737	3289	1563	2049	2943	3856	20	13	4	3
aroD	59	85	87	83	38	58	61	128	0	0	0	0
aroE	1256	1582	1475	1458	1208	1574	665	1704	5	3	3	4
aroF	187	243	211	180	151	258	138	419	2	7	5	3
aroG	2302	3331	3334	4579	1865	2983	1655	4119	30	18	19	9
aroH	92	115	165	103	63	129	108	254	6	5	0	2
aroK	575	718	804	667	402	646	513	1342	25	24	8	8
aroL	369	527	611	520	295	493	386	1116	6	7	4	7
aroM	149	207	181	120	87	204	105	272	1	2	0	1
aroP	130	159	170	145	104	145	114	225	4	0	0	0
arpA	18	25	72	45	21	30	55	122	0	0	1	0
arpB	3	3	4	6	2	6	5	12	0	0	0	0
arrS	546	457	110	48	690	710	89	90	0	0	0	0
arsB	20	18	40	49	21	19	30	72	1	1	0	0
arsC	3	10	18	13	8	6	13	31	0	0	0	0
arsR	26	21	96	76	22	27	54	75	0	0	0	0
artI	2186	2680	998	1015	1489	2255	678	1477	15	12	3	7
artJ	82	119	63	55	55	75	66	132	1	2	1	1
artM	1141	1356	602	646	847	1139	355	614	10	4	3	0
artP	265	346	124	120	127	302	94	215	5	4	2	3
artQ	1759	2088	866	825	1516	1746	498	828	9	10	2	4
ascB	155	159	76	94	112	155	60	99	2	5	0	0
ascF	91	110	37	53	56	97	41	108	3	2	1	0
ascG	197	172	224	212	152	194	161	288	1	1	3	1
ascrp	1	0	1	0	0	0	1	3	0	0	0	0
asd	5500	5740	5541	5563	4395	5281	3200	5718	33	61	20	15
asflhD	10	8	16	15	5	15	11	23	1	0	0	0
aslA	20	20	11	8	9	11	11	27	0	1	0	2
aslB	25	29	33	34	18	36	34	86	1	0	0	0
asmA	769	929	869	890	595	896	524	1385	18	31	3	7
asnA	2241	2533	8206	9844	2275	2706	6242	11987	31	9	4	8
asnB	735	955	1602	1452	574	922	1047	2860	17	9	8	1
asnC	49	56	84	64	53	67	74	194	1	0	1	0
asnS	1877	1992	3114	2678	1225	1794	1859	4030	27	24	9	12
asnT	1663	2076	2054	5672	3150	2475	2098	4921	1252	4574	1085	506
asnU	2824	4649	2394	12330	6329	5923	2675	8697	3606	6501	4230	2223
asnV	2453	3186	3142	8414	4351	3970	3430	6139	2053	4295	1853	887
asnW	982	1091	814	2882	1567	1608	1342	2649	1229	1276	1095	369
asompR	19	28	32	31	14	23	31	87	0	0	0	0
aspA	20372	26764	23291	23213	17719	27525	12753	37786	614	826	249	197
aspC	774	1086	1617	1442	560	981	1167	3049	36	21	14	6
aspS	1075	1474	2027	1839	769	1404	1323	4133	47	77	18	14
aspT	3578	3764	4595	7149	4213	4337	6278	8917	1718	1945	1731	653
aspU	4459	4313	4768	7181	4835	5397	6807	9866	1852	1968	2188	871
aspV	6374	7623	4438	12659	8607	8718	5708	13226	3969	4739	5170	1976
aspX	3076	3913	3069	3051	2434	3604	1437	4581	47	81	32	14
asphoP	18	30	14	18	20	16	23	26	0	0	1	0
asr	198	186	118	155	156	259	121	137	0	0	1	0
astA	1220	1209	125	96	400	522	61	109	0	0	1	2
astB	1150	1190	94	82	490	643	66	87	3	1	1	0
astC	1636	1605	154	188	613	818	135	156	2	2	0	1
astD	1207	1282	87	95	431	648	49	94	0	2	0	0
astE	766	724	128	129	384	452	105	107	1	2	2	0
atoA	3	8	4	2	2	7	4	4	0	0	0	0
atoB	18	17	10	14	6	16	4	22	0	0	1	0
atoC	890	1171	582	731	739	1129	260	671	8	24	2	5
atoD	2	10	5	8	7	6	5	8	1	0	0	0
atoE	17	13	27	14	17	12	22	9	0	2	0	0
atoS	384	720	327	334	281	597	171	504	12	26	4	0
atpA	1127	1629	4840	4174	627	1228	3484	11320	125	134	32	36
atpB	1432	1157	3940	2490	1320	1070	3130	3629	23	25	6	7
atpC	333	519	1522	1402	218	386	963	3351	25	16	8	7
atpD	1278	1923	4998	4824	691	1329	3293	11021	86	79	25	40
atpE	434	561	1408	1118	290	449	911	2506	38	32	10	14
atpF	354	469	1332	1077	223	483	884	3125	62	40	7	5
atpG	588	868	3143	2303	321	711	1963	7208	59	74	19	27
atpH	375	476	1391	1010	200	417	895	2853	43	51	11	12
atpI	552	484	1267	793	398	444	954	1246	2	0	0	3
avtA	103	177	271	240	72	167	234	511	1	6	5	2
azoR	50	59	82	65	29	33	63	165	0	0	2	2
azuC	99	147	111	115	104	193	258	412	4	0	0	0
azuR	102	157	116	117	106	194	262	418	4	0	0	0
bacA	434	373	516	492	325	429	354	563	1	1	1	1
baeR	122	179	163	178	100	171	121	261	1	6	0	0
baeS	59	71	59	62	53	63	62	104	1	1	0	1
bamA	1424	2209	3305	2960	1010	1977	2531	6227	77	80	21	31
bamB	1212	1455	1732	1525	906	1300	1192	2389	25	22	5	10
bamC	916	1077	1145	1071	581	983	923	1768	15	32	8	8
bamD	419	638	938	722	311	616	618	1911	30	18	13	7
bamE	279	298	322	239	198	286	278	603	6	1	1	1
barA	447	613	452	402	368	581	303	644	14	14	2	2
basR	172	267	137	187	123	205	115	240	6	4	2	0
basS	139	210	167	190	128	163	80	229	3	5	0	0
bax	225	299	652	419	168	321	437	953	5	4	3	2
baxL	39	25	87	39	35	42	61	73	0	0	0	0
bcp	120	165	224	152	85	132	134	344	7	10	1	1
bcr	522	574	891	831	563	529	545	781	2	8	3	2
bcsA	30	38	37	34	30	51	28	66	2	0	2	0
bcsB	15	38	23	20	11	21	22	49	0	0	1	0
bcsC	149	221	180	148	101	177	123	287	2	6	5	2
bcsE	1047	1263	532	601	712	1106	343	777	14	16	6	6
bcsF	133	132	65	56	92	102	32	62	3	1	2	0
bcsG	383	447	192	155	288	409	104	225	5	8	2	1
bcsQ	54	69	41	42	51	50	42	54	0	0	0	0
bcsZ	16	26	24	17	10	26	17	32	0	0	0	0
bdcA	25	33	28	16	22	37	16	52	1	0	0	0
bdcR	64	86	88	70	51	81	48	70	2	0	0	0
bdm	4	4	5	2	1	4	3	6	0	0	0	0
beeE	10	6	5	7	2	10	3	9	0	0	0	0
bepA	530	717	529	519	303	637	362	997	15	9	6	6
bet	122	5	7	0	5245	8892	19330	45974	117	8	52	42
betA	287	373	765	682	156	243	425	1058	3	3	1	2
betB	175	237	452	489	104	143	370	763	3	1	0	2
betI	62	97	232	180	38	58	227	401	1	2	1	1
betT	123	146	453	351	91	125	383	665	2	1	0	1
bfd	9	12	52	63	5	9	49	93	0	0	0	0
bfr	189	286	120	91	174	328	94	193	10	6	1	4
bglA	390	564	463	408	233	461	323	1043	9	13	5	4
bglB	20	13	33	28	33	35	26	40	0	0	0	0
bglF	31	23	22	38	37	33	22	41	0	0	0	0
bglG	1	1	3	9	1	3	6	5	0	0	0	0
bglH	7	12	8	8	6	9	8	16	0	0	0	0
bglJ	15	26	17	7	20	21	6	18	0	1	0	0
bglX	560	558	625	599	396	484	473	874	8	10	1	2
bhsA	501	695	464	499	471	793	502	789	5	1	1	1
bhsB	284	386	245	206	278	420	227	439	0	0	1	0
bidA	2515	2688	1526	1876	2454	2579	1171	2114	12	7	4	19
bioA	15	24	28	30	12	25	20	50	0	0	0	1
bioB	23	36	55	66	17	43	25	96	1	0	0	0
bioC	15	17	22	19	18	8	9	34	1	0	0	0
bioD	11	7	12	13	5	1	5	13	0	0	0	0
bioF	28	30	42	45	23	37	26	73	1	1	0	0
bioH	77	86	95	107	75	100	72	134	1	2	0	0
bioP	79	85	118	96	72	108	83	184	0	2	0	0
bipA	5037	5033	23660	26715	3465	5242	20026	30640	74	28	18	22
birA	218	292	301	244	200	319	389	914	3	2	0	4
bisC	391	438	381	389	313	379	270	496	2	6	1	0
blc	175	191	18	12	97	153	10	29	0	0	1	0
blr	371	281	482	362	402	398	346	450	2	1	0	0
bluF	84	114	222	121	89	124	167	423	1	0	0	0
bluR	317	397	563	471	231	378	361	842	6	10	0	5
bolA	14156	13057	5530	5543	10362	13802	3744	5489	23	14	14	5
bor	38	51	976	513	92	101	1046	1467	2	0	0	1
borD	96	106	2021	1090	123	106	1873	2515	8	1	0	0
brnQ	831	1002	1518	1183	638	942	975	2122	14	11	3	2
bsmA	135	216	65	63	69	184	43	144	12	14	4	3
bssR	361	546	381	440	319	512	372	1139	23	27	9	3
bssS	609	839	370	306	708	997	383	772	3	7	5	3
btsR	403	629	1019	936	377	562	549	1343	12	19	3	6
btsS	517	549	1104	985	430	532	618	1346	11	11	6	4
btsT	930	268	78	71	373	299	44	113	12	26	8	6
btuB	700	883	916	855	529	830	716	1643	15	16	7	3
btuC	237	300	266	222	210	233	214	315	1	2	4	1
btuD	207	275	247	298	210	307	150	369	4	3	0	0
btuE	317	379	304	278	226	329	207	463	4	8	0	0
btuF	542	590	573	526	640	655	345	667	6	8	3	1
btuR	210	224	282	296	128	181	146	328	0	3	1	0
cI	1	2	0	0	48	49	534	882	0	0	0	0
cII	5	0	0	0	222	415	1090	2423	4	2	1	3
cIII	48	4	2	1	1143	1871	4075	11443	40	5	9	4
cadA	6040	10708	21	27	5063	13100	228	66	342	582	167	150
cadB	2658	3424	12	2	2185	4128	46	11	120	190	60	50
cadC	147	167	76	41	181	222	54	77	1	0	2	0
caiA	42	52	54	43	23	69	30	65	2	3	0	0
caiB	24	52	16	29	34	47	22	45	3	3	0	2
caiC	44	65	35	38	66	51	25	45	0	1	0	0
caiD	10	17	4	12	7	20	7	20	0	1	0	0
caiE	7	9	7	5	8	11	4	9	0	0	0	0
caiF	124	143	29	28	130	187	25	35	2	1	0	0
caiT	6	12	10	4	14	17	4	12	1	1	0	0
can	40	52	176	133	22	56	163	367	10	3	3	0
carA	59	83	321	297	62	104	293	483	0	2	1	0
carB	316	364	2144	2191	199	319	1361	2898	12	5	2	2
cas1	60	92	44	49	46	93	41	70	3	0	1	0
cas2	25	46	22	19	38	31	24	30	0	0	0	0
cas3	314	419	129	199	270	449	81	170	7	7	2	1
casA	10	9	7	10	6	6	10	16	0	0	0	0
casB	12	13	8	10	8	14	4	19	0	0	0	0
casC	15	32	20	15	15	22	16	29	3	0	0	0
casD	25	23	17	27	19	31	22	26	0	1	0	1
casE	35	57	28	18	40	47	29	25	0	0	0	0
cbeA	0	0	2	0	0	2	1	0	0	0	0	0
cbl	10	21	8	9	14	28	20	28	0	0	0	0
cbpA	954	1194	526	611	664	1012	274	660	16	22	5	8
cbpM	171	201	112	98	118	205	56	125	7	0	0	0
cbrA	6	8	9	15	4	5	17	16	0	0	0	0
cbrB	10	10	14	7	5	11	5	24	0	0	0	0
cbrC	55	31	60	58	46	42	44	55	0	0	0	0
cbtA	1	0	0	0	0	0	0	0	0	0	0	0
cca	795	994	1143	1306	655	928	792	1371	11	15	3	4
ccmA	80	114	86	104	69	97	56	135	3	6	1	1
ccmB	51	74	52	45	38	53	27	59	1	6	1	0
ccmC	219	233	90	149	213	218	58	131	9	4	3	1
ccmD	130	141	61	72	118	141	30	57	4	1	0	0
ccmE	199	255	148	137	260	279	65	161	5	4	0	1
ccmF	328	386	336	373	350	382	204	344	12	14	1	1
ccmG	48	71	118	94	39	70	53	160	0	6	0	0
ccmH	37	57	110	70	43	62	58	138	3	4	2	1
ccp	819	861	203	206	815	1115	119	284	5	5	4	2
cdaR	984	1353	684	972	690	1108	438	823	10	11	2	5
cdd	199	327	132	133	132	260	142	345	4	13	4	0
cdgI	18	18	7	4	25	25	20	10	0	0	0	0
cdh	56	48	122	87	61	59	139	133	1	1	0	0
cdsA	1301	1347	1613	1438	1068	1249	992	1477	13	10	4	4
cecR	91	103	93	101	51	98	85	185	1	7	1	1
cedA	17	27	73	42	17	21	35	111	0	0	0	0
cfa	1320	1771	1832	2057	942	1558	1445	3768	21	10	3	6
chaA	69	69	146	88	59	100	146	249	1	1	0	1
chaB	110	123	43	59	96	141	32	54	1	1	1	0
chaC	135	184	83	81	96	196	53	132	4	2	1	0
chbA	146	200	59	74	120	186	41	98	1	1	0	0
chbB	1250	1517	901	711	1283	1773	491	1350	3	1	1	0
chbC	1149	1435	450	371	1107	1656	297	751	9	3	3	0
chbF	33	37	11	15	20	39	13	21	0	0	1	0
chbG	61	95	49	37	39	66	35	80	2	1	1	3
chbR	160	181	60	59	143	183	34	74	2	4	1	0
cheA	7716	10173	9789	9614	5937	8877	7276	16079	172	303	74	45
cheB	1683	2056	2590	2538	1438	2130	1626	3535	32	114	17	21
cheR	8054	8167	8622	8518	7819	8905	4550	8360	93	197	51	28
cheW	1785	2143	2432	2465	1202	1839	1805	4411	23	39	3	6
cheY	1018	1344	1676	1700	774	1195	1473	2636	23	34	7	11
cheZ	1102	1540	1968	2132	802	1355	1628	3429	25	53	20	16
chiA	74	97	112	123	89	113	82	194	4	1	0	2
chiP	3199	2794	2157	1634	2837	2909	2587	1791	7	1	3	1
chiQ	99	92	128	94	72	100	61	91	1	1	0	0
chiX	3023831	4517147	3187339	1988555	2853868	3792914	9750236	2390078	834	105	333	1010
chiZ	33720	20493	17164	11855	27840	26901	17052	11056	16	1	1	9
cho	567	519	693	582	592	597	537	799	6	5	2	1
chpB	205	211	240	338	137	179	111	235	2	0	5	0
chpS	187	200	207	272	120	195	118	236	2	1	0	0
cirA	24	27	658	663	20	27	457	1366	2	0	1	0
citC	6	10	2	6	10	10	3	4	0	0	1	0
citD	2	0	0	0	0	4	0	1	0	0	0	0
citE	4	8	1	3	4	8	0	0	2	1	1	0
citF	3	13	2	3	9	10	0	6	0	0	1	0
citG	5	3	1	1	4	11	1	2	0	0	0	0
citR	11	8	17	12	8	14	26	37	2	0	0	0
citT	9	18	15	8	11	25	12	20	0	0	0	0
citX	4	4	2	3	5	6	0	3	0	0	0	0
