	Hfq_30_II_cutadapt_bwa	Hfq_30_I_cutadapt_bwa	Hfq_60_II_cutadapt_bwa	Hfq_60_I_cutadapt_bwa	Hfq_lambda_30_II_cutadapt_bwa	Hfq_lambda_30_I_cutadapt_bwa	Hfq_lambda_60_II_cutadapt_bwa	Hfq_lambda_60_I_cutadapt_bwa	wt30_II_cutadapt_bwa	wt30_I_cutadapt_bwa	wt_lambda_30_II_cutadapt_bwa	wt_lambda_30_I_cutadapt_bwa
metN	247	254	575	517	246	326	692	1121	1	2	0	1
metQ	989	1100	1686	1578	797	1054	1117	2700	12	2	3	0
metR	12	22	31	33	25	24	34	76	1	1	0	0
metT	264	339	279	735	561	354	239	732	233	369	351	149
metU	148	267	552	631	326	200	396	566	238	605	148	131
metV	1451	1727	3501	3604	1936	2494	2617	6006	921	1308	649	325
metW	1944	2191	3759	6413	3404	3974	2822	8225	2224	3083	1618	781
metY	1803	2112	1973	1647	1737	1936	1704	3056	404	373	323	152
metZ	826	921	1161	2737	1319	1581	1183	3372	889	1186	868	315
mfd	881	1229	1738	1726	536	1000	1204	3031	37	40	12	8
mglA	535	686	1213	1042	272	439	918	1745	2	4	1	0
mglB	5949	7044	3509	3246	2876	4622	2707	5795	38	13	6	8
mglC	7127	6364	5262	4244	5971	4726	3053	3997	8	2	2	6
mgrB	74	84	149	161	66	103	117	172	0	0	1	1
mgrR	9128	7635	21212	20881	7504	10464	27814	35270	53	3	3	38
mgsA	415	648	390	366	335	552	237	802	21	19	13	5
mgtA	109	123	84	110	71	106	73	140	0	2	0	0
mgtL	582	617	1735	1214	606	603	1170	1317	5	5	4	1
mgtS	3	13	17	17	6	21	21	46	0	0	0	0
mgtT	7	9	14	8	8	16	4	34	0	0	2	0
mhpA	33	25	18	31	15	12	17	22	0	1	0	0
mhpB	24	38	19	17	24	33	11	27	0	0	0	0
mhpC	38	37	24	27	25	42	16	22	0	0	0	0
mhpD	38	54	30	33	34	37	12	44	1	0	0	0
mhpE	78	99	43	43	55	75	27	63	2	0	1	0
mhpF	66	79	41	40	39	60	21	47	0	0	0	0
mhpR	51	58	70	58	24	28	73	99	1	1	2	1
mhpT	450	417	257	248	325	435	157	201	2	2	0	0
miaA	20031	16889	20908	22329	12780	15016	21849	17457	35	37	10	12
miaB	511	698	1302	1014	413	653	632	1871	12	5	1	3
micA	67100	44569	77848	50621	49093	50416	115662	83953	40	3	13	11
micC	3	7	15	5	7	7	13	17	0	0	0	0
micF	41815	31168	36115	24553	34925	46520	24738	37155	24	1	6	9
micL	10963	9893	13653	13069	5879	8581	14775	14072	15	7	3	3
minC	862	1189	1139	1027	682	1036	778	1923	14	20	5	10
minD	2234	2873	2917	2753	1648	2758	1711	4081	42	34	20	7
minE	902	1044	1187	884	739	988	651	1663	20	5	4	3
mioC	432	565	1110	754	447	612	710	1465	9	3	2	2
